,name,accuracy
0,Lin SVM,"[[1.0, 0.7940552016985138], [1.0, 0.7940552016985138], [0.9936305732484076, 0.7983014861995754], [0.9639065817409767, 0.7961783439490446], [0.8662420382165605, 0.7707006369426752]]"
0,SVM Poly = 2 Coef = 10,"[[1.0, 0.8280254777070064], [1.0, 0.8280254777070064], [0.9978768577494692, 0.8259023354564756], [0.9660297239915074, 0.8365180467091295], [0.9299363057324841, 0.8174097664543525], [0.7919320594479831, 0.7048832271762208]]"
1,SVM Poly = 2 Coef = 2,"[[0.9745222929936306, 0.8365180467091295], [0.9681528662420382, 0.8365180467091295], [0.9384288747346072, 0.8259023354564756], [0.861995753715499, 0.772823779193206], [0.7919320594479831, 0.7112526539278131], [0.2505307855626327, 0.07643312101910828]]"
2,SVM Poly = 2 Coef = 1,"[[0.9447983014861996, 0.8280254777070064], [0.9363057324840764, 0.821656050955414], [0.9023354564755839, 0.8067940552016986], [0.8004246284501062, 0.7154989384288747], [0.6666666666666666, 0.47983014861995754], [0.21656050955414013, 0.07643312101910828]]"
3,SVM Poly = 3 Coef = 10,"[[1.0, 0.8280254777070064], [1.0, 0.8280254777070064], [1.0, 0.8280254777070064], [1.0, 0.8280254777070064], [1.0, 0.8280254777070064], [0.9787685774946921, 0.8407643312101911]]"
4,SVM Poly = 3 Coef = 2,"[[1.0, 0.8301486199575372], [0.9978768577494692, 0.8259023354564756], [0.9872611464968153, 0.8365180467091295], [0.9447983014861996, 0.8280254777070064], [0.9023354564755839, 0.8067940552016986], [0.7409766454352441, 0.5498938428874734]]"
5,SVM Poly = 3 Coef = 1,"[[0.970276008492569, 0.8365180467091295], [0.9617834394904459, 0.832271762208068], [0.9363057324840764, 0.8195329087048833], [0.8428874734607219, 0.7558386411889597], [0.7791932059447984, 0.6624203821656051], [0.21656050955414013, 0.07643312101910828]]"
0,SVM RBF Gamma=0.0001,"[[0.8598726114649682, 0.7664543524416136], [0.832271762208068, 0.7558386411889597], [0.7685774946921444, 0.6326963906581741], [0.21656050955414013, 0.07643312101910828], [0.21656050955414013, 0.07643312101910828], [0.21656050955414013, 0.07643312101910828]]"
1,SVM RBF Gamma=0.005,"[[1.0, 0.8471337579617835], [1.0, 0.8471337579617835], [1.0, 0.8471337579617835], [0.9150743099787686, 0.8067940552016986], [0.3205944798301486, 0.11040339702760085], [0.21656050955414013, 0.07643312101910828]]"
2,SVM RBF Gamma=0.01,"[[1.0, 0.8641188959660298], [1.0, 0.8641188959660298], [1.0, 0.8641188959660298], [0.9617834394904459, 0.8301486199575372], [0.47983014861995754, 0.2229299363057325], [0.2229299363057325, 0.07643312101910828]]"
3,SVM RBF Gamma=0.05,"[[1.0, 0.8259023354564756], [1.0, 0.8259023354564756], [1.0, 0.8259023354564756], [1.0, 0.8067940552016986], [0.23142250530785563, 0.07643312101910828], [0.22929936305732485, 0.07643312101910828]]"
4,SVM RBF Gamma=0.1,"[[1.0, 0.4989384288747346], [1.0, 0.4989384288747346], [1.0, 0.4989384288747346], [1.0, 0.45222929936305734], [0.22929936305732485, 0.07643312101910828], [0.22929936305732485, 0.07643312101910828]]"
