max_features,max_depth,n_estimators,train accuracy,test accuracy
10,50,200,0.984706882,0.922684792
25,50,200,0.987255735,0.920985556
10,50,100,0.984706882,0.919286321
50,50,200,0.986406117,0.916737468
50,50,100,0.984706882,0.911639762
25,50,75,0.983857264,0.909940527
50,50,75,0.988105353,0.909940527
10,50,50,0.978759558,0.909090909
25,50,50,0.983007647,0.908241291
25,50,100,0.984706882,0.908241291
50,50,50,0.9855565,0.907391674
10,50,75,0.982158029,0.903143585
10,50,25,0.979609176,0.90144435
10,10,100,0.945624469,0.899745115
25,10,100,0.935429057,0.899745115
25,10,200,0.946474087,0.898895497
25,50,25,0.981308411,0.898045879
50,50,25,0.983007647,0.898045879
50,10,200,0.929481733,0.893797791
10,10,200,0.947323704,0.892098556
25,10,50,0.93797791,0.89039932
25,10,75,0.924384027,0.89039932
50,10,100,0.936278675,0.889549703
50,10,50,0.933729822,0.887850467
50,10,75,0.931180969,0.886151232
10,10,75,0.939677145,0.879354291
25,10,25,0.929481733,0.875106202
10,10,50,0.933729822,0.874256585
50,10,25,0.921835174,0.874256585
10,10,25,0.909940527,0.852166525
25,50,5,0.945624469,0.836023789
50,50,5,0.951571793,0.835174172
10,50,5,0.929481733,0.816482583
50,10,5,0.858963466,0.812234494
25,10,5,0.846219201,0.75191164
10,10,5,0.779099405,0.69328802
