max_features,max_depth,n_estimators,train accuracy,test accuracy
10,10,5,0.800339847068819,0.7145284621920136
10,10,25,0.9158878504672897,0.8385726423109601
10,10,50,0.91928632115548,0.8708581138487681
10,10,75,0.907391673746814,0.8912489379779099
10,10,100,0.9422259983007647,0.8920985556499575
10,10,200,0.9303313508920985,0.903143585386576
10,50,5,0.9252336448598131,0.816482582837723
10,50,25,0.9770603228547153,0.8988954970263382
10,50,50,0.9821580288870009,0.9056924384027187
10,50,75,0.983857264231096,0.9184367034834324
10,50,100,0.9830076465590484,0.9209855564995751
10,50,200,0.9864061172472387,0.929481733220051
25,10,5,0.8317757009345794,0.7986406117247239
25,10,25,0.9243840271877655,0.8606627017841971
25,10,50,0.9320305862361937,0.8861512319456245
25,10,75,0.9320305862361937,0.8920985556499575
25,10,100,0.9362786745964317,0.8980458793542906
25,10,200,0.9413763806287171,0.8988954970263382
25,50,5,0.9532710280373832,0.8394222599830077
25,50,25,0.9770603228547153,0.903143585386576
25,50,50,0.9830076465590484,0.9116397621070518
25,50,75,0.9830076465590484,0.9150382327952421
25,50,100,0.9855564995751912,0.9099405267629567
25,50,200,0.9855564995751912,0.9226847918436704
50,10,5,0.8623619371282922,0.8096856414613424
50,10,25,0.9167374681393373,0.8853016142735769
50,10,50,0.9218351741716228,0.8954970263381479
50,10,75,0.9337298215802888,0.8920985556499575
50,10,100,0.9286321155480034,0.897196261682243
50,10,200,0.9320305862361937,0.897196261682243
50,50,5,0.9626168224299065,0.8453695836873407
50,50,25,0.9804587935429057,0.9082412914188616
50,50,50,0.9864061172472387,0.9175870858113849
50,50,75,0.9855564995751912,0.9141886151231946
50,50,100,0.9872557349192863,0.9167374681393373
50,50,200,0.9872557349192863,0.9226847918436704
