max_features,max_depth,n_estimators,train accuracy,test accuracy
10,50,200,0.98089172,0.845010616
25,50,200,0.978768577,0.842887473
10,50,100,0.978768577,0.840764331
10,10,100,0.98089172,0.836518047
25,10,200,0.985138004,0.836518047
25,50,75,0.974522293,0.834394904
25,50,100,0.98089172,0.834394904
50,10,200,0.98089172,0.832271762
50,50,200,0.985138004,0.83014862
50,10,75,0.983014862,0.828025478
10,10,200,0.976645435,0.825902335
50,10,50,0.98089172,0.825902335
50,10,100,0.985138004,0.821656051
50,50,100,0.976645435,0.821656051
10,50,75,0.976645435,0.817409766
25,10,75,0.98089172,0.817409766
25,10,100,0.983014862,0.817409766
10,10,50,0.978768577,0.815286624
25,10,50,0.978768577,0.815286624
50,50,50,0.978768577,0.815286624
50,50,75,0.974522293,0.81104034
10,50,50,0.976645435,0.808917197
10,10,75,0.976645435,0.800424628
50,10,25,0.972399151,0.800424628
25,50,50,0.976645435,0.794055202
10,10,25,0.968152866,0.779193206
50,50,25,0.972399151,0.779193206
10,50,25,0.961783439,0.777070064
25,50,25,0.972399151,0.770700637
25,10,25,0.974522293,0.766454352
50,50,5,0.921443737,0.66029724
50,10,5,0.910828025,0.649681529
25,10,5,0.910828025,0.643312102
10,10,5,0.900212314,0.611464968
10,50,5,0.904458599,0.611464968
25,50,5,0.910828025,0.605095541
